[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.202400  0.016920
PPFD  0.802234  0.046681
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.196876  0.029657
PPFD  0.796724  0.063470
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  9.606921e-17
(TEMP, PPFD)  0.000000  2.180279e-16
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  9.606921e-17
(RH, PPFD)    0.000000  2.180279e-16
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)   0.006633  5.437360e-02
(CO2, H)      0.000552  3.656341e-02
(PPFD, H)    -0.000272  9.333455e-02]
