[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.189794  0.012198
PPFD  0.753372  0.047560
H     0.063907  0.005150,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.184550  0.030217
PPFD  0.745391  0.050578
H     0.061845  0.014275,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  6.482039e-17
(TEMP, PPFD)  0.000000  1.717982e-16
(TEMP, H)     0.000000  3.239722e-17
(RH, CO2)     0.000000  6.482039e-17
(RH, PPFD)    0.000000  1.717982e-16
(RH, H)       0.000000  3.239722e-17
(CO2, PPFD)   0.005875  5.762695e-02
(CO2, H)      0.000429  3.971019e-02
(PPFD, H)     0.001396  8.094012e-02]
