[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.128465  0.009955
PPFD  0.506988  0.038120
H     0.380214  0.022571,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.121468  0.021763
PPFD  0.494103  0.045021
H     0.364757  0.039003,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  4.519376e-17
(TEMP, PPFD)  0.000000  1.037366e-16
(TEMP, H)     0.000000  8.923089e-17
(RH, CO2)     0.000000  4.519376e-17
(RH, PPFD)    0.000000  1.037366e-16
(RH, H)       0.000000  8.923089e-17
(CO2, PPFD)   0.004404  3.889820e-02
(CO2, H)      0.004326  3.715560e-02
(PPFD, H)     0.010997  8.190850e-02]
