[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.128465  0.009030
PPFD  0.506988  0.033594
H     0.380214  0.022666,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.121468  0.016915
PPFD  0.494103  0.045077
H     0.364757  0.039116,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  5.508998e-17
(TEMP, PPFD)  5.551115e-17  1.168745e-16
(TEMP, H)     5.551115e-17  7.929801e-17
(RH, CO2)     0.000000e+00  5.508998e-17
(RH, PPFD)    5.551115e-17  1.168745e-16
(RH, H)       5.551115e-17  7.929801e-17
(CO2, PPFD)   4.403961e-03  3.264223e-02
(CO2, H)      4.326481e-03  3.131875e-02
(PPFD, H)     1.099693e-02  7.780082e-02]
