[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.350273  0.017523
PPFD  0.653879  0.025172
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.345751  0.028067
PPFD  0.648802  0.030268
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  1.172626e-16
(TEMP, PPFD)  0.000000  1.131104e-16
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  1.172626e-16
(RH, PPFD)    0.000000  1.131104e-16
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)   0.005448  4.693075e-02
(CO2, H)      0.000696  3.788001e-02
(PPFD, H)     0.001356  4.840702e-02]
