[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.202611  0.009261
PPFD  0.802709  0.031077
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.196845  0.019548
PPFD  0.796334  0.039542
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  6.748639e-17
(TEMP, PPFD)  0.000000  7.223590e-17
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  6.748639e-17
(RH, PPFD)    0.000000  7.223590e-17
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)   0.006567  3.940407e-02
(CO2, H)      0.000735  2.502526e-02
(PPFD, H)     0.001610  5.580247e-02]
