[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.350309  0.018374
PPFD  0.653884  0.023838
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.345816  0.025548
PPFD  0.648787  0.034226
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  8.565513e-17
(TEMP, PPFD)  0.000000  1.625427e-16
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  8.565513e-17
(RH, PPFD)    0.000000  1.625427e-16
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)   0.005377  4.855502e-02
(CO2, H)      0.000625  4.041180e-02
(PPFD, H)     0.001644  4.490711e-02]
