[            ST   ST_conf
TEMP  0.007388  0.000431
RH    0.271950  0.015411
CO2   0.020853  0.001358
PPFD  0.657404  0.029852
H     0.055667  0.002651,             S1   S1_conf
TEMP  0.006783  0.003705
RH    0.260905  0.025833
CO2   0.019662  0.006941
PPFD  0.646041  0.039038
H     0.053090  0.009580,                     S2   S2_conf
(TEMP, RH)    0.000544  0.005279
(TEMP, CO2)   0.000545  0.004844
(TEMP, PPFD)  0.000974  0.007306
(TEMP, H)     0.000500  0.004848
(RH, CO2)     0.002794  0.033960
(RH, PPFD)    0.009973  0.048463
(RH, H)       0.003565  0.034006
(CO2, PPFD)   0.000891  0.011562
(CO2, H)      0.000151  0.009114
(PPFD, H)     0.003079  0.054408]
