Index,AMI_A_S2,AMI_A_S2_conf,AMI_CQY_S2,AMI_CQY_S2_conf,AMI_CUE_24_S2,AMI_CUE_24_S2_conf,AMI_ALPHA_S2,AMI_ALPHA_S2_conf,AMI_BETA_S2,AMI_BETA_S2_conf,AMI_DCG_S2,AMI_DCG_S2_conf,AMI_CGR_S2,AMI_CGR_S2_conf,AMI_TCB_S2,AMI_TCB_S2_conf,AMI_TEB_S2,AMI_TEB_S2_conf,AMI_VP_SAT_S2,AMI_VP_SAT_S2_conf,AMI_VP_AIR_S2,AMI_VP_AIR_S2_conf,AMI_VPD_S2,AMI_VPD_S2_conf,AMI_P_GROSS_S2,AMI_P_GROSS_S2_conf,AMI_P_NET_S2,AMI_P_NET_S2_conf,AMI_g_S_S2,AMI_g_S_S2_conf,AMI_g_A_S2,AMI_g_A_S2_conf,AMI_g_C_S2,AMI_g_C_S2_conf,AMI_DTR_S2,AMI_DTR_S2_conf,BOS_A_S2,BOS_A_S2_conf,BOS_CQY_S2,BOS_CQY_S2_conf,BOS_CUE_24_S2,BOS_CUE_24_S2_conf,BOS_ALPHA_S2,BOS_ALPHA_S2_conf,BOS_BETA_S2,BOS_BETA_S2_conf,BOS_DCG_S2,BOS_DCG_S2_conf,BOS_CGR_S2,BOS_CGR_S2_conf,BOS_TCB_S2,BOS_TCB_S2_conf,BOS_TEB_S2,BOS_TEB_S2_conf,BOS_VP_SAT_S2,BOS_VP_SAT_S2_conf,BOS_VP_AIR_S2,BOS_VP_AIR_S2_conf,BOS_VPD_S2,BOS_VPD_S2_conf,BOS_P_GROSS_S2,BOS_P_GROSS_S2_conf,BOS_P_NET_S2,BOS_P_NET_S2_conf,BOS_g_S_S2,BOS_g_S_S2_conf,BOS_g_A_S2,BOS_g_A_S2_conf,BOS_g_C_S2,BOS_g_C_S2_conf,BOS_DTR_S2,BOS_DTR_S2_conf,CAV_A_S2,CAV_A_S2_conf,CAV_CQY_S2,CAV_CQY_S2_conf,CAV_CUE_24_S2,CAV_CUE_24_S2_conf,CAV_ALPHA_S2,CAV_ALPHA_S2_conf,CAV_BETA_S2,CAV_BETA_S2_conf,CAV_DCG_S2,CAV_DCG_S2_conf,CAV_CGR_S2,CAV_CGR_S2_conf,CAV_TCB_S2,CAV_TCB_S2_conf,CAV_TEB_S2,CAV_TEB_S2_conf,CAV_VP_SAT_S2,CAV_VP_SAT_S2_conf,CAV_VP_AIR_S2,CAV_VP_AIR_S2_conf,CAV_VPD_S2,CAV_VPD_S2_conf,CAV_P_GROSS_S2,CAV_P_GROSS_S2_conf,CAV_P_NET_S2,CAV_P_NET_S2_conf,CAV_g_S_S2,CAV_g_S_S2_conf,CAV_g_A_S2,CAV_g_A_S2_conf,CAV_g_C_S2,CAV_g_C_S2_conf,CAV_DTR_S2,CAV_DTR_S2_conf
TEMPxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPxRH,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.0002755615617249241,0.05911556563693406,0.00040654774328297005,0.01396906224360082,0.0004058133980491263,0.01478062183250591,0.0,0.0,0.0,0.0,0.00026983899286048274,0.006269740377421712,,,-5.42863800621074e-05,0.0060083652146024295,0.0002971741342233103,0.00832761701190586,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002755615617249241,0.059749748645057374,,,0.0004058133980491263,0.014762150414744398,,,0.0,0.0,0.0005169190196855356,0.00619610460853951,,,-0.00041648729953119856,0.006008998047530184,0.0004316050352022316,0.014539755785544735,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002755615617249241,0.058147535489364945,0.00040654774328297005,0.01425812654160679,0.00040581339804890426,0.014301431336154038,0.0,0.0,0.0,0.0,0.0005435035576397684,0.005279324908021519,,,-0.0003677933607575401,0.005707192838911097,0.0002847189165999242,0.008409813142352278
TEMPxCO2,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.0002755615617249241,0.05911556563693406,1.21937983758591e-05,0.009731547268240628,1.071846731472148e-05,0.010403694703155811,0.0,0.0,0.0,0.0,0.0005235268064434084,0.006729311625349755,,,-5.985765862837056e-05,0.006567310474400219,4.912365348395259e-05,0.006745011701851927,0.0,5.1320789977886005e-17,0.0,2.1654211526715157e-16,,,0.0,1.1726263475309652e-16,0.0,1.1623848732310831e-16,0.0,4.8364077153486984e-17,0.0,5.092317504203518e-17,0.0,4.38577726046191e-17,0.0,4.919063766654605e-17,-0.0002755615617249241,0.059749748645057374,,,1.071846731472148e-05,0.010001486726551854,,,0.0,6.748639261535424e-17,0.0005227141662938646,0.0054372688946703164,,,-0.0005099758908383503,0.00548164105313518,3.711321261889555e-05,0.009538689971326012,0.0,7.490735064846392e-17,0.0,2.4031688900033657e-16,,,0.0,8.565513488741532e-17,5.551115123125783e-17,8.238192224154393e-17,0.0,3.673648377378519e-17,0.0,4.0117444254539e-17,-1.3877787807814457e-17,5.0702568192275466e-17,0.0,4.4312076192566564e-17,-0.0002755615617249241,0.058147535489364945,1.21937983758591e-05,0.009830597239704107,1.0718467314690255e-05,0.009582322623555057,0.0,5.837584201148894e-17,0.0,4.467235997398257e-17,0.0005446000467223266,0.004844495759261258,,,-0.00045525229911487497,0.0055678280771150595,5.9645140803191415e-05,0.006655908257917035
TEMPxPPFD,,,,,,,0.0,,,,0.0,4.7377461172474485e-17,0.0,4.4928411929788676e-17,,,0.0,4.73008975476176e-17,-0.0002755615617249241,0.05911556563693406,1.21937983758591e-05,0.009731547268240628,1.071846731472148e-05,0.010403694703155811,0.0,1.6955636111671246e-16,0.0,7.278830444242375e-17,0.0003232117551593139,0.005501704415520103,,,-0.00022621245250385724,0.0054075379126506205,4.565472724951279e-05,0.006809421907347785,0.0,1.492269316770386e-16,-1.734723475976807e-18,1.7475207318807558e-17,,,0.0,1.1311042044366777e-16,0.0,1.0558734272305651e-16,0.0,1.164389030870215e-16,-5.551115123125783e-17,1.4943111365820823e-16,0.0,1.041736716808273e-16,0.0,8.013796392315809e-17,-0.0002755615617249241,0.059749748645057374,,,1.071846731472148e-05,0.010001486726551854,,,0.0,7.223590178220435e-17,0.0009492911917945435,0.006900302325936538,,,-0.0005034896008392353,0.007166641416046468,7.688057335561091e-05,0.00965161756701241,0.0,1.4414036976337895e-16,0.0,1.683817149047457e-17,,,0.0,1.6254273328470607e-16,-1.1102230246251565e-16,1.6625207358538116e-16,0.0,1.2606355696658793e-16,0.0,1.141573961210864e-16,0.0,1.4478183368582794e-16,0.0,1.5650135838589075e-16,-0.0002755615617249241,0.058147535489364945,1.21937983758591e-05,0.009830597239704107,1.0718467314690255e-05,0.009582322623555057,-1.1102230246251565e-16,1.2936377929574409e-16,0.0,1.7179815549701588e-16,0.000973607349487815,0.007305869724234429,,,-0.0004989636479221238,0.007566367049253435,4.8591738636350607e-05,0.006697954365149599
TEMPxH,,,,,,,0.0,,,,0.0,2.666297293638341e-16,0.0,1.9436890160764948e-16,,,0.0,1.800227626675824e-16,-0.0002755615617249241,0.05911556563693406,1.21937983758591e-05,0.009731547268240628,1.071846731472148e-05,0.010403694703155811,0.0,0.0,0.0,1.1116983938159283e-16,0.00015064510022283484,0.006142313562997577,,,-0.00017135335796431006,0.005706546343071147,0.0005098560564520405,0.008813001157084707,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,9.489362814091058e-17,0.0,5.805749130447243e-17,0.0,1.0301368161327273e-16,0.0,8.949849179510679e-17,-0.0002755615617249241,0.059749748645057374,,,1.071846731472148e-05,0.010001486726551854,,,0.0,0.0,0.0005103177840381145,0.005298223898087451,,,-0.0005087393081920416,0.005315388669284002,3.622588258612655e-05,0.009542435042784356,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.1006186953120323e-16,0.0,6.722010303564464e-17,0.0,9.884354960634141e-17,0.0,9.326683229814912e-17,-0.0002755615617249241,0.058147535489364945,1.21937983758591e-05,0.009830597239704107,1.0718467314690255e-05,0.009582322623555057,0.0,0.0,0.0,3.5349384798777105e-17,0.0004999187632515611,0.004848184027202905,,,-0.000457164012733019,0.0056055138469436674,0.000507679886837642,0.008168367220171592
RHxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxCO2,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-4.5766040243422346e-05,0.06556439150887608,-4.3115975133622975e-05,0.05948743387481302,0.0,0.0,0.0,0.0,0.0035545192345037835,0.041691031185808206,,,0.00297004153194097,0.04284221466884406,0.0009820982508638634,0.041075275765471715,0.0,5.1320789977886005e-17,0.0,2.1654211526715157e-16,,,0.0,1.1726263475309652e-16,0.0,1.1623848732310831e-16,0.0,4.8364077153486984e-17,0.0,5.092317504203518e-17,0.0,4.38577726046191e-17,0.0,4.919063766654605e-17,0.0,0.0,,,-4.3115975133622975e-05,0.06643212641990776,,,0.0,6.748639261535424e-17,0.002735907453799421,0.03224955075085921,,,-0.0021184044272330137,0.03267595701407754,0.00012381144172238484,0.05853990584385833,0.0,7.490735064846392e-17,0.0,2.4031688900033657e-16,,,0.0,8.565513488741532e-17,5.551115123125783e-17,8.238192224154393e-17,0.0,3.673648377378519e-17,0.0,4.0117444254539e-17,-1.3877787807814457e-17,5.0702568192275466e-17,0.0,4.4312076192566564e-17,0.0,0.0,-4.5766040243422346e-05,0.06556458509900778,-4.3115975133622975e-05,0.06460772191562981,0.0,5.837584201148894e-17,0.0,4.467235997398257e-17,0.002793674358271648,0.03395974723771718,,,-0.0018841395801287124,0.03387878067328456,0.0006793929420454154,0.041018110206456404
RHxPPFD,,,,,,,0.0,,,,0.0,4.7377461172474485e-17,0.0,4.4928411929788676e-17,,,0.0,4.73008975476176e-17,0.0,0.0,-4.5766040243422346e-05,0.06556439150887608,-4.3115975133622975e-05,0.05948743387481302,0.0,1.6955636111671246e-16,0.0,7.278830444242375e-17,0.0005812210060049811,0.03624833583087686,,,0.000768760345062236,0.04012499957984857,0.0008087572266175336,0.041141525266975815,0.0,1.492269316770386e-16,-1.734723475976807e-18,1.7475207318807558e-17,,,0.0,1.1311042044366777e-16,0.0,1.0558734272305651e-16,0.0,1.164389030870215e-16,-5.551115123125783e-17,1.4943111365820823e-16,0.0,1.041736716808273e-16,0.0,8.013796392315809e-17,0.0,0.0,,,-4.3115975133622975e-05,0.06643212641990776,,,0.0,7.223590178220435e-17,0.009855289458252314,0.039525120776985445,,,0.004398407916722857,0.04234141583000474,-7.611389485372155e-05,0.058498900057935184,0.0,1.4414036976337895e-16,0.0,1.683817149047457e-17,,,0.0,1.6254273328470607e-16,-1.1102230246251565e-16,1.6625207358538116e-16,0.0,1.2606355696658793e-16,0.0,1.141573961210864e-16,0.0,1.4478183368582794e-16,0.0,1.5650135838589075e-16,0.0,0.0,-4.5766040243422346e-05,0.06556458509900778,-4.3115975133622975e-05,0.06460772191562981,-1.1102230246251565e-16,1.2936377929574409e-16,0.0,1.7179815549701588e-16,0.009972614978147498,0.04846343099440103,,,0.0030041498456438998,0.045001286420020985,0.00043093083349679713,0.041072175176526525
RHxH,,,,,,,0.0,,,,0.0,2.666297293638341e-16,0.0,1.9436890160764948e-16,,,0.0,1.800227626675824e-16,0.0,0.0,-4.5766040243422346e-05,0.06556439150887608,-4.3115975133622975e-05,0.05948743387481302,0.0,0.0,0.0,1.1116983938159283e-16,0.0028433281456259896,0.0399545053135146,,,0.0032964541760557853,0.041840938421230045,0.010204820815421511,0.04757766770761408,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,9.489362814091058e-17,0.0,5.805749130447243e-17,0.0,1.0301368161327273e-16,0.0,8.949849179510679e-17,0.0,0.0,,,-4.3115975133622975e-05,0.06643212641990776,,,0.0,0.0,0.0023077513174539765,0.03196109711374405,,,-0.002256846434053994,0.031940903913000834,0.0001246319342820268,0.05840072669588699,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.1006186953120323e-16,0.0,6.722010303564464e-17,0.0,9.884354960634141e-17,0.0,9.326683229814912e-17,0.0,0.0,-4.5766040243422346e-05,0.06556458509900778,-4.3115975133622975e-05,0.06460772191562981,0.0,0.0,0.0,3.5349384798777105e-17,0.0035645558188294804,0.03400581372487288,,,-0.0016843706329803879,0.03454020745873107,0.009414823346711398,0.05364045251968048
