[            ST   ST_conf
TEMP  0.012348  0.000597
RH    0.466752  0.022687
CO2   0.007967  0.000511
PPFD  0.001847  0.000099
H     0.523469  0.021807,             S1   S1_conf
TEMP  0.012049  0.004846
RH    0.455186  0.027516
CO2   0.007361  0.004119
PPFD  0.001632  0.001846
H     0.514279  0.029874,                     S2   S2_conf
(TEMP, RH)    0.000173  0.008759
(TEMP, CO2)  -0.000001  0.007257
(TEMP, PPFD)  0.000050  0.007156
(TEMP, H)    -0.000046  0.008303
(RH, CO2)     0.001905  0.038582
(RH, PPFD)    0.001828  0.037967
(RH, H)       0.009856  0.045241
(CO2, PPFD)   0.000348  0.005551
(CO2, H)      0.000779  0.006832
(PPFD, H)     0.000200  0.003383]
