[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.123635  0.006481
H     0.879130  0.030687,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.120624  0.016325
H     0.876018  0.038298,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  0.000000e+00
(TEMP, PPFD)  0.000000  4.695283e-17
(TEMP, H)     0.000000  1.383155e-16
(RH, CO2)     0.000000  0.000000e+00
(RH, PPFD)    0.000000  4.695283e-17
(RH, H)       0.000000  1.383155e-16
(CO2, PPFD)   0.000000  4.695283e-17
(CO2, H)      0.000000  1.383155e-16
(PPFD, H)     0.003122  3.131456e-02]
