[            ST   ST_conf
TEMP  0.025669  0.001397
RH    0.976075  0.030863
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.025103  0.007418
RH    0.975859  0.044803
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)    0.000627  0.015322
(TEMP, CO2)   0.000416  0.009989
(TEMP, PPFD)  0.000416  0.009989
(TEMP, H)     0.000416  0.009989
(RH, CO2)     0.000165  0.060862
(RH, PPFD)    0.000165  0.060862
(RH, H)       0.000165  0.060862
(CO2, PPFD)   0.000000  0.000000
(CO2, H)      0.000000  0.000000
(PPFD, H)     0.000000  0.000000]
