[            ST   ST_conf
TEMP  0.026367  0.001352
RH    0.975374  0.028863
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.025801  0.006391
RH    0.975158  0.045356
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)    0.000629  0.012349
(TEMP, CO2)   0.000417  0.009127
(TEMP, PPFD)  0.000417  0.009127
(TEMP, H)     0.000417  0.009127
(RH, CO2)     0.000166  0.057575
(RH, PPFD)    0.000166  0.057575
(RH, H)       0.000166  0.057575
(CO2, PPFD)   0.000000  0.000000
(CO2, H)      0.000000  0.000000
(PPFD, H)     0.000000  0.000000]
