[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.350512  0.019115
PPFD  0.653947  0.026474
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.345979  0.023170
PPFD  0.649959  0.036328
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -5.551115e-17  1.131316e-16
(TEMP, PPFD)  0.000000e+00  1.810824e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)    -5.551115e-17  1.131316e-16
(RH, PPFD)    0.000000e+00  1.810824e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   3.703343e-03  4.683308e-02
(CO2, H)      1.299500e-04  3.587471e-02
(PPFD, H)     2.378941e-05  5.061282e-02]
