[            ST   ST_conf
TEMP  0.007789  0.000415
RH    0.287564  0.013538
CO2   0.022037  0.001382
PPFD  0.694528  0.027116
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.007429  0.003898
RH    0.277981  0.023029
CO2   0.020778  0.006452
PPFD  0.683378  0.033352
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)   -0.000037  0.006193
(TEMP, CO2)  -0.000089  0.005537
(TEMP, PPFD)  0.000262  0.007275
(TEMP, H)    -0.000148  0.005433
(RH, CO2)    -0.000135  0.032321
(RH, PPFD)    0.009060  0.045222
(RH, H)      -0.000190  0.032678
(CO2, PPFD)   0.001110  0.012267
(CO2, H)     -0.000059  0.008774
(PPFD, H)     0.002098  0.052938]
