[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.985380  0.027113
PPFD  0.015041  0.000863
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.985420  0.040711
PPFD  0.015058  0.005467
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  2.384789e-16
(TEMP, PPFD)  0.000000  1.341424e-17
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  2.384789e-16
(RH, PPFD)    0.000000  1.341424e-17
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)  -0.000004  6.977053e-02
(CO2, H)      0.000080  6.653877e-02
(PPFD, H)     0.000076  7.568935e-03]
