[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.128905  0.007155
PPFD  0.508574  0.021735
H     0.380983  0.018582,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.121783  0.016774
PPFD  0.493784  0.032674
H     0.365029  0.027635,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  4.126347e-17
(TEMP, PPFD)  0.000000  9.001138e-17
(TEMP, H)     0.000000  7.899587e-17
(RH, CO2)     0.000000  4.126347e-17
(RH, PPFD)    0.000000  9.001138e-17
(RH, H)       0.000000  7.899587e-17
(CO2, PPFD)   0.004870  2.816908e-02
(CO2, H)      0.003937  2.912348e-02
(PPFD, H)     0.011008  5.691089e-02]
