[            ST   ST_conf
TEMP  0.025669  0.001449
RH    0.976075  0.031556
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.025103  0.007136
RH    0.975859  0.041681
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)    0.000627  0.014586
(TEMP, CO2)   0.000416  0.010509
(TEMP, PPFD)  0.000416  0.010509
(TEMP, H)     0.000416  0.010509
(RH, CO2)     0.000165  0.056926
(RH, PPFD)    0.000165  0.056926
(RH, H)       0.000165  0.056926
(CO2, PPFD)   0.000000  0.000000
(CO2, H)      0.000000  0.000000
(PPFD, H)     0.000000  0.000000]
