[            ST   ST_conf
TEMP  0.006882  0.000360
RH    0.273366  0.015699
CO2   0.018389  0.001118
PPFD  0.656265  0.028741
H     0.052577  0.002836,             S1   S1_conf
TEMP  0.006551  0.003337
RH    0.267634  0.024491
CO2   0.018052  0.005319
PPFD  0.649820  0.039214
H     0.051293  0.010303,                     S2   S2_conf
(TEMP, RH)    0.000166  0.005444
(TEMP, CO2)   0.000131  0.005119
(TEMP, PPFD)  0.000318  0.006386
(TEMP, H)     0.000203  0.005238
(RH, CO2)     0.000382  0.035579
(RH, PPFD)    0.005022  0.046549
(RH, H)       0.000504  0.034509
(CO2, PPFD)   0.000036  0.009762
(CO2, H)      0.000101  0.007638
(PPFD, H)     0.001918  0.059390]
