[            ST   ST_conf
TEMP  0.012342  0.000722
RH    0.465787  0.019018
CO2   0.007962  0.000528
PPFD  0.001847  0.000116
H     0.522766  0.024659,             S1   S1_conf
TEMP  0.011531  0.005098
RH    0.456471  0.028225
CO2   0.007873  0.004340
PPFD  0.001839  0.001738
H     0.510402  0.032814,                     S2   S2_conf
(TEMP, RH)    0.000426  0.008619
(TEMP, CO2)   0.000398  0.007587
(TEMP, PPFD)  0.000378  0.007504
(TEMP, H)     0.001110  0.009475
(RH, CO2)    -0.001830  0.044105
(RH, PPFD)   -0.001652  0.044659
(RH, H)       0.009478  0.057403
(CO2, PPFD)  -0.000390  0.006572
(CO2, H)     -0.000035  0.008020
(PPFD, H)    -0.000148  0.002975]
