[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.350475  0.015238
PPFD  0.653302  0.024751
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.346725  0.021862
PPFD  0.649365  0.036811
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  9.469181e-17
(TEMP, PPFD)  1.110223e-16  2.027631e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     0.000000e+00  9.469181e-17
(RH, PPFD)    1.110223e-16  2.027631e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   3.749289e-03  4.554007e-02
(CO2, H)      2.557150e-04  3.514729e-02
(PPFD, H)    -6.704932e-05  5.139819e-02]
