[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.128809  0.007338
PPFD  0.507311  0.023743
H     0.380506  0.017651,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.122292  0.014359
PPFD  0.493994  0.028751
H     0.367984  0.026578,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  3.348084e-17
(TEMP, PPFD)  0.000000  7.584525e-17
(TEMP, H)     0.000000  7.169592e-17
(RH, CO2)     0.000000  3.348084e-17
(RH, PPFD)    0.000000  7.584525e-17
(RH, H)       0.000000  7.169592e-17
(CO2, PPFD)   0.003536  2.723149e-02
(CO2, H)      0.003781  2.590596e-02
(PPFD, H)     0.009280  5.208509e-02]
