[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.128809  0.006933
PPFD  0.507311  0.020452
H     0.380506  0.019999,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.122292  0.016139
PPFD  0.493994  0.028502
H     0.367984  0.023428,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  4.644393e-17
(TEMP, PPFD)  0.000000  1.116153e-16
(TEMP, H)     0.000000  9.956672e-17
(RH, CO2)     0.000000  4.644393e-17
(RH, PPFD)    0.000000  1.116153e-16
(RH, H)       0.000000  9.956672e-17
(CO2, PPFD)   0.003536  3.175617e-02
(CO2, H)      0.003781  2.823200e-02
(PPFD, H)     0.009280  5.599526e-02]
