[            ST   ST_conf
TEMP  0.011433  0.000585
RH    0.431690  0.017600
CO2   0.000430  0.000024
PPFD  0.015301  0.000852
H     0.551757  0.022990,             S1   S1_conf
TEMP  0.010653  0.004622
RH    0.422690  0.031269
CO2   0.000500  0.000916
PPFD  0.015044  0.004952
H     0.540010  0.033059,                     S2   S2_conf
(TEMP, RH)    0.000420  0.008112
(TEMP, CO2)   0.000382  0.007131
(TEMP, PPFD)  0.000378  0.007087
(TEMP, H)     0.001081  0.008573
(RH, CO2)    -0.001692  0.041459
(RH, PPFD)   -0.001641  0.042979
(RH, H)       0.009098  0.053872
(CO2, PPFD)  -0.000089  0.001188
(CO2, H)     -0.000105  0.001606
(PPFD, H)    -0.000077  0.009705]
