Index,A_S2,A_S2_conf,CQY_S2,CQY_S2_conf,CUE_24_S2,CUE_24_S2_conf,ALPHA_S2,ALPHA_S2_conf,BETA_S2,BETA_S2_conf,DCG_S2,DCG_S2_conf,CGR_S2,CGR_S2_conf,TCB_S2,TCB_S2_conf,TEB_S2,TEB_S2_conf,VP_SAT_S2,VP_SAT_S2_conf,VP_AIR_S2,VP_AIR_S2_conf,VPD_S2,VPD_S2_conf,P_GROSS_S2,P_GROSS_S2_conf,P_NET_S2,P_NET_S2_conf,g_S_S2,g_S_S2_conf,g_A_S2,g_A_S2_conf,g_C_S2,g_C_S2_conf,DTR_S2,DTR_S2_conf
TEMPxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPxRH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010034708562871586,0.0602634857890524,-0.0003549760173550895,0.0025100388416092884,0.0007229238846208075,0.0137091284097908,0.0,0.0,0.0,0.0,-0.0004385940659593357,0.004794519306592031,,,0.0008288300632202095,0.0047182423096298175,0.00021298003587327807,0.007640086029115795
TEMPxCO2,-1.734723475976807e-18,1.0093307672108326e-17,4.336808689942018e-19,5.173331529827914e-18,0.0,0.0,0.0,3.280894706934788e-17,0.0,6.662827679154523e-17,0.0,3.350845189819615e-17,0.0,2.1422506596353806e-17,-1.0842021724855044e-18,5.729488797370015e-18,0.0,1.6245360917504914e-18,-0.0010034708562871586,0.0602634857890524,-0.00032860460349905187,0.002486271298501802,-9.21636450119806e-05,0.0096971116597258,-4.336808689942018e-19,4.150316190133087e-18,-6.938893903907228e-18,3.244101780918376e-17,-0.0002652098843606912,0.0045096981965212606,,,0.00035707074822455276,0.003996252553491264,-0.00010339428471446547,0.006417630976165173
TEMPxPPFD,0.0,1.5354260657526442e-17,-2.879912020664621e-19,1.3940125856839003e-18,0.0,0.0,0.0,6.405028800274386e-17,0.0,9.889192526058044e-17,0.0,8.865113184536771e-17,5.551115123125783e-17,9.020213458333603e-17,0.0,1.2913881125613202e-17,0.0,1.234126840611681e-17,-0.0010034708562871586,0.0602634857890524,-0.00032860460349905187,0.002486271298501802,-9.21636450119806e-05,0.0096971116597258,0.0,1.4825593643477964e-17,0.0,9.16437768834773e-17,-0.00046228120586150334,0.00509594931919994,,,0.000457803799325196,0.004043618015111271,-0.00017990653442556334,0.006481626859962567
TEMPxH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.589636239714404e-17,5.551115123125783e-17,8.679226107967088e-17,1.734723475976807e-18,1.0644974566485357e-17,-3.469446951953614e-18,1.7262396375674718e-17,-0.0010034708562871586,0.0602634857890524,-0.00032860460349905187,0.002486271298501802,-9.21636450119806e-05,0.0096971116597258,0.0,0.0,0.0,1.842701391193463e-17,-0.0003340208968761367,0.004333154858233177,,,0.0004629513084616274,0.004062861014564395,2.8692243381089888e-05,0.008375888164974457
TEMPxSTRU,0.0,9.916359859298575e-17,1.1102230246251565e-16,2.1996072064482856e-16,0.0,0.0,0.0,8.470057391901895e-17,0.0,1.161098337282644e-16,0.0,5.086737846083188e-17,5.551115123125783e-17,8.917727589370012e-17,0.0,1.269755491582899e-16,0.0,1.9671696895948549e-16,-0.0010034708562871586,0.0602634857890524,7.128248318233332e-05,0.0023597032477631827,-9.216364501197785e-05,0.009697111659725805,0.0,5.681887230485164e-17,-5.551115123125783e-17,1.5415737145389634e-16,0.00014864951816445648,0.0053218445612093195,,,0.00046293362351235157,0.0042820865408896075,-5.7000482511084666e-05,0.006314750054257203
RHxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxCO2,-1.734723475976807e-18,1.0093307672108326e-17,4.336808689942018e-19,5.173331529827914e-18,0.0,0.0,0.0,3.280894706934788e-17,0.0,6.662827679154523e-17,0.0,3.350845189819615e-17,0.0,2.1422506596353806e-17,-1.0842021724855044e-18,5.729488797370015e-18,0.0,1.6245360917504914e-18,0.0,0.0,-0.0022595326685339277,0.013850868642099466,-0.00021916616713679726,0.06024382200729355,-4.336808689942018e-19,4.150316190133087e-18,-6.938893903907228e-18,3.244101780918376e-17,0.001078851986953601,0.02468671946865705,,,0.003574769693961269,0.028870957311375487,0.0018445228543376138,0.03735139194309261
RHxPPFD,0.0,1.5354260657526442e-17,-2.879912020664621e-19,1.3940125856839003e-18,0.0,0.0,0.0,6.405028800274386e-17,0.0,9.889192526058044e-17,0.0,8.865113184536771e-17,5.551115123125783e-17,9.020213458333603e-17,0.0,1.2913881125613202e-17,0.0,1.234126840611681e-17,0.0,0.0,-0.0022595326685339277,0.013850868642099466,-0.00021916616713679726,0.06024382200729355,0.0,1.4825593643477964e-17,0.0,9.16437768834773e-17,0.006538335189804956,0.027171116820519182,,,0.008708049831149423,0.031161750700912944,0.0022087647380810913,0.03733708232386708
