[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.675554  0.185047
H     0.408258  0.161415,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.599574  0.300933
H     0.432014  0.190336,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  0.000000e+00
(TEMP, PPFD)  0.000000e+00  1.341141e-16
(TEMP, H)     5.551115e-17  9.264942e-17
(RH, CO2)     0.000000e+00  0.000000e+00
(RH, PPFD)    0.000000e+00  1.341141e-16
(RH, H)       5.551115e-17  9.264942e-17
(CO2, PPFD)   0.000000e+00  1.341141e-16
(CO2, H)      5.551115e-17  9.264942e-17
(PPFD, H)     8.296410e-02  5.271244e-01]
