[            ST   ST_conf
TEMP  0.277183  0.139751
RH    0.044635  0.053018
CO2   0.068351  0.041715
PPFD  0.435722  0.375126
H     0.033809  0.037911,             S1   S1_conf
TEMP  0.159288  0.349155
RH    0.018477  0.043615
CO2  -0.017403  0.064425
PPFD  0.569955  0.651129
H     0.025405  0.046580,                     S2   S2_conf
(TEMP, RH)    0.331429  0.752475
(TEMP, CO2)   0.227392  0.552544
(TEMP, PPFD)  0.186742  0.661916
(TEMP, H)     0.308162  0.698839
(RH, CO2)    -0.003936  0.133811
(RH, PPFD)    0.015667  0.172040
(RH, H)      -0.017275  0.171853
(CO2, PPFD)   0.135158  0.272099
(CO2, H)      0.173947  0.286676
(PPFD, H)    -0.233026  0.638686]
