[            ST   ST_conf
TEMP  0.203351  0.162830
RH    0.082412  0.054802
CO2   0.224088  0.139339
PPFD  0.359466  0.224984
H     0.062973  0.038938,             S1   S1_conf
TEMP  0.218326  0.215471
RH    0.095018  0.100669
CO2   0.165191  0.299823
PPFD  0.226777  0.167836
H     0.050460  0.058634,                     S2   S2_conf
(TEMP, RH)   -0.094213  0.221414
(TEMP, CO2)  -0.037701  0.224906
(TEMP, PPFD)  0.000859  0.263570
(TEMP, H)    -0.087277  0.221070
(RH, CO2)    -0.116740  0.255189
(RH, PPFD)   -0.019268  0.228702
(RH, H)      -0.051328  0.180357
(CO2, PPFD)   0.184024  0.731866
(CO2, H)      0.013447  0.518592
(PPFD, H)    -0.013646  0.178956]
