[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.008115  0.003949
PPFD  0.679715  0.217683
H     0.394006  0.158769,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.007226  0.024097
PPFD  0.639218  0.278686
H     0.378989  0.232691,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  1.464197e-17
(TEMP, PPFD)  0.000000e+00  9.125152e-17
(TEMP, H)    -5.551115e-17  7.547981e-17
(RH, CO2)     0.000000e+00  1.464197e-17
(RH, PPFD)    0.000000e+00  9.125152e-17
(RH, H)      -5.551115e-17  7.547981e-17
(CO2, PPFD)   1.369011e-02  5.455789e-02
(CO2, H)      1.957514e-02  5.022827e-02
(PPFD, H)     1.082401e-01  4.188274e-01]
