[            ST   ST_conf
TEMP  0.045088  0.089478
RH    0.009679  0.017163
CO2   0.001828  0.003346
PPFD  0.639677  0.516009
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.015597  0.093159
RH    0.007643  0.016609
CO2  -0.002250  0.009937
PPFD  0.778666  0.918764
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)    0.138667  0.216010
(TEMP, CO2)   0.139972  0.211685
(TEMP, PPFD)  0.104223  0.237021
(TEMP, H)     0.139959  0.212321
(RH, CO2)    -0.052505  0.078900
(RH, PPFD)   -0.046542  0.080144
(RH, H)      -0.053518  0.078474
(CO2, PPFD)   0.018600  0.023472
(CO2, H)      0.014572  0.024476
(PPFD, H)    -0.217337  1.120246]
