[            ST   ST_conf
TEMP  0.240784  0.166674
RH    0.095836  0.062406
CO2   0.153885  0.077689
PPFD  0.450163  0.324256
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.228470  0.203240
RH    0.100263  0.113481
CO2   0.163066  0.226247
PPFD  0.296736  0.202506
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)   -0.071227  0.241382
(TEMP, CO2)  -0.001128  0.259302
(TEMP, PPFD)  0.086512  0.345340
(TEMP, H)    -0.056399  0.237005
(RH, CO2)    -0.079914  0.300666
(RH, PPFD)   -0.009733  0.231876
(RH, H)       0.001974  0.251361
(CO2, PPFD)  -0.020333  0.448604
(CO2, H)     -0.087466  0.377634
(PPFD, H)     0.050103  0.281739]
