[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.012710  0.006882
PPFD  0.817638  0.261324
H     0.298092  0.141212,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.019492  0.031685
PPFD  0.735815  0.330657
H     0.285104  0.194832,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  1.581374e-17
(TEMP, PPFD)  0.000000e+00  2.138613e-16
(TEMP, H)    -5.551115e-17  8.784557e-17
(RH, CO2)     0.000000e+00  1.581374e-17
(RH, PPFD)    0.000000e+00  2.138613e-16
(RH, H)      -5.551115e-17  8.784557e-17
(CO2, PPFD)   6.684257e-03  7.069447e-02
(CO2, H)      2.690637e-04  5.549474e-02
(PPFD, H)     1.232965e-01  4.583472e-01]
