[            ST   ST_conf
TEMP  0.236476  0.140453
RH    0.088897  0.053091
CO2   0.152936  0.076780
PPFD  0.428091  0.261170
H     0.017313  0.009588,             S1   S1_conf
TEMP  0.250475  0.203858
RH    0.109484  0.114024
CO2   0.143409  0.235367
PPFD  0.286707  0.173932
H     0.020507  0.028939,                     S2   S2_conf
(TEMP, RH)   -0.095443  0.246628
(TEMP, CO2)  -0.037667  0.245508
(TEMP, PPFD)  0.029396  0.256454
(TEMP, H)    -0.088613  0.240315
(RH, CO2)    -0.108224  0.281885
(RH, PPFD)   -0.025803  0.231793
(RH, H)      -0.043392  0.224463
(CO2, PPFD)   0.018837  0.479359
(CO2, H)     -0.059768  0.406405
(PPFD, H)     0.035454  0.230222]
