[            ST   ST_conf
TEMP  0.007794  0.003364
RH    0.295479  0.099881
CO2   0.302468  0.099093
PPFD  0.077804  0.031135
H     0.274730  0.092366,             S1   S1_conf
TEMP  0.008154  0.024738
RH    0.339852  0.166787
CO2   0.343617  0.195463
PPFD  0.059811  0.108367
H     0.256638  0.222969,                     S2   S2_conf
(TEMP, RH)   -0.003416  0.051750
(TEMP, CO2)  -0.003382  0.040743
(TEMP, PPFD)  0.002099  0.040707
(TEMP, H)     0.000304  0.036116
(RH, CO2)    -0.033145  0.281110
(RH, PPFD)   -0.075212  0.269034
(RH, H)      -0.019351  0.242163
(CO2, PPFD)  -0.063002  0.242324
(CO2, H)     -0.059826  0.314216
(PPFD, H)     0.068608  0.158930]
