[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.329728  0.106429
PPFD  0.669752  0.199596
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.359837  0.242120
PPFD  0.648136  0.242318
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  1.119346e-16
(TEMP, PPFD)  0.000000  1.438248e-16
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  1.119346e-16
(RH, PPFD)    0.000000  1.438248e-16
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)  -0.075411  3.320771e-01
(CO2, H)     -0.041060  3.148182e-01
(PPFD, H)     0.067204  3.678079e-01]
