[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.958141  0.245311
PPFD  0.016030  0.007812
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.964912  0.383400
PPFD  0.015808  0.039674
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  1.486328e-16
(TEMP, PPFD)  1.734723e-17  2.124898e-17
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     0.000000e+00  1.486328e-16
(RH, PPFD)    1.734723e-17  2.124898e-17
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)  -1.387195e-02  4.974800e-01
(CO2, H)     -1.757567e-02  4.949360e-01
(PPFD, H)    -3.327635e-03  5.294137e-02]
