[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.124282  0.048102
PPFD  0.598568  0.232054
H     0.404057  0.174191,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.165312  0.139778
PPFD  0.540277  0.224492
H     0.397306  0.203020,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   2.775558e-17  6.109130e-17
(TEMP, PPFD)  0.000000e+00  1.352560e-16
(TEMP, H)     5.551115e-17  1.064894e-16
(RH, CO2)     2.775558e-17  6.109130e-17
(RH, PPFD)    0.000000e+00  1.352560e-16
(RH, H)       5.551115e-17  1.064894e-16
(CO2, PPFD)  -7.523293e-02  2.000213e-01
(CO2, H)     -5.219874e-02  2.096224e-01
(PPFD, H)     8.306269e-02  4.769520e-01]
