[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.188876  0.067883
PPFD  0.824479  0.231726
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.225277  0.179713
PPFD  0.796048  0.331017
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -2.775558e-17  9.506742e-17
(TEMP, PPFD)  0.000000e+00  2.175200e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)    -2.775558e-17  9.506742e-17
(RH, PPFD)    0.000000e+00  2.175200e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)  -9.420311e-02  2.864960e-01
(CO2, H)     -5.391261e-02  2.461745e-01
(PPFD, H)     8.246674e-02  4.663934e-01]
