[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.119359  0.043565
PPFD  0.584976  0.248231
H     0.407387  0.147347,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.156790  0.131373
PPFD  0.551837  0.239490
H     0.406476  0.213237,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  7.125994e-17
(TEMP, PPFD)  0.000000  1.377047e-16
(TEMP, H)     0.000000  1.091989e-16
(RH, CO2)     0.000000  7.125994e-17
(RH, PPFD)    0.000000  1.377047e-16
(RH, H)       0.000000  1.091989e-16
(CO2, PPFD)  -0.074624  2.133582e-01
(CO2, H)     -0.045327  2.006577e-01
(PPFD, H)     0.021958  4.547842e-01]
