[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.119359  0.042147
PPFD  0.584976  0.250681
H     0.407387  0.155251,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.156790  0.140002
PPFD  0.551837  0.247645
H     0.406476  0.198477,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  6.326880e-17
(TEMP, PPFD)  0.000000  1.305598e-16
(TEMP, H)     0.000000  1.175986e-16
(RH, CO2)     0.000000  6.326880e-17
(RH, PPFD)    0.000000  1.305598e-16
(RH, H)       0.000000  1.175986e-16
(CO2, PPFD)  -0.074624  2.074602e-01
(CO2, H)     -0.045327  1.979926e-01
(PPFD, H)     0.021958  4.509294e-01]
