Index,A_S2,A_S2_conf,CQY_S2,CQY_S2_conf,CUE_24_S2,CUE_24_S2_conf,ALPHA_S2,ALPHA_S2_conf,BETA_S2,BETA_S2_conf,DCG_S2,DCG_S2_conf,CGR_S2,CGR_S2_conf,TCB_S2,TCB_S2_conf,TEB_S2,TEB_S2_conf,VP_SAT_S2,VP_SAT_S2_conf,VP_AIR_S2,VP_AIR_S2_conf,VPD_S2,VPD_S2_conf,P_GROSS_S2,P_GROSS_S2_conf,P_NET_S2,P_NET_S2_conf,g_S_S2,g_S_S2_conf,g_A_S2,g_A_S2_conf,g_C_S2,g_C_S2_conf,DTR_S2,DTR_S2_conf
TEMPxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPxRH,0.29627560074558157,0.46291019971799835,0.30081917576331396,0.43103749337773545,0.3412039532794249,0.5380863556395883,0.22285792981114433,0.40898456713136405,0.6705811708758225,0.46952678862404423,0.23950845901059756,0.4605557067109648,0.2395621670356908,0.4946302998163366,-0.06986021158277039,0.5817380649750933,0.09369031277970966,0.4385673787748107,0.026947438486214503,0.5141051494182411,-0.03651562774676542,0.5237555724659502,0.013141226743522028,0.12484690244471437,-0.015145459252845328,0.44700410028059906,0.27350561622098774,0.3933494825257047,0.5067648914173524,0.4932081130993015,,,0.22834395491887421,0.28147124078988073,0.0476299160148545,0.10517395597868959
TEMPxCO2,0.2785281851567215,0.415632455984396,0.3129709358423046,0.4092664755813155,0.3412039532794249,0.4187507758627585,0.18264035220757835,0.3794077112910404,0.5983212133741828,0.6092957181631867,0.22086034041220845,0.3898206496314066,0.2208872227511527,0.32645406985628456,0.10370235818728299,0.42819372075949497,0.18096066746759537,0.3893932135952332,0.026947438486214503,0.5141051494182411,0.13683528491381675,0.4957260193614578,0.025379471796541552,0.09591926740704144,0.14035938310694498,0.4936163192009043,0.1704629611101014,0.3000959848708212,0.22276954547165256,0.35267453530152637,,,0.08065636705734011,0.31125184547854284,0.023624518090564057,0.09713366528443934
TEMPxPPFD,-0.10943710640194085,0.594101248563778,-0.06369385340143485,0.46690293343181716,-0.04521114106019762,0.5747553975529145,-0.17420003348745558,0.46854547318566087,0.30079127540433687,0.47545930786964763,0.011191171544516876,0.2800953145407646,0.011198169318706597,0.29417236338324204,-0.31077529374301893,0.5501659789683444,-0.19024575709329636,0.5374529356813852,0.026947438486214503,0.5141051494182411,-0.34150944237644504,0.5487285820161385,0.025379471796541556,0.09591926740704146,-0.3316657865434405,0.518980688873968,-0.09160228950046762,0.34398861599947167,-0.0026020404885953585,0.33192425195086006,,,-0.037072381378971064,0.27152010905560464,0.018973177483374237,0.09774642384646162
TEMPxH,0.09845131905323083,0.5514178086414915,0.12322317860243573,0.4935260819572427,0.14799640610961362,0.5645371508624587,0.042376671669559066,0.40277350929599304,0.42483178492014784,0.50041675496574,0.17463358029255116,0.49088142319303774,0.1746799808245259,0.46001261708653546,0.1385807493118979,0.5220839137727247,-0.06691133460967083,0.50066386552319,0.026947438486214503,0.5141051494182411,-0.06514985859042818,0.39269728823375843,0.025379471796541556,0.09591926740704144,-0.13054007774242474,0.47653009779878563,0.22081244223817792,0.3564172597356409,0.25575421296375306,0.3999297786787279,,,0.06873886392292436,0.2834815710346054,0.048509340604991125,0.11130732925966867
TEMPxSTRU,0.31320632846885466,0.46568952206555286,0.3194942981540014,0.47231175179756,0.3412039532794249,0.565071924930474,0.24380368836786945,0.4169217911732446,0.4410997358400016,0.5242116424139661,0.25656241070827335,0.47981422259039785,0.25662624001900014,0.506876308825735,0.14935563820336056,0.40324653741833566,0.221417782943225,0.44415054695789796,0.026947438486214503,0.5141051494182411,0.39183927174118777,0.4353594240713939,0.025379471796541538,0.09591926740704144,0.3265287905980693,0.48808606576746516,0.39395928834685523,0.3892659440084306,0.4810761378147808,0.47861433781760215,,,0.20844857358961663,0.2978893442412165,0.026497289620928524,0.10300851432890988
RHxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxCO2,0.1463602391456497,0.43767052396246503,0.09911204474703839,0.40242738201375694,0.1027852650494159,0.4216196167460415,0.21345542892853647,0.39486938767724905,0.0725026715058466,0.344954526972048,0.16733451253796494,0.3379763682580875,0.16735314902067708,0.3346680056027406,0.22302577898873938,0.5999385928292095,0.05059812215270065,0.4600030177086057,0.0,0.0,0.058140462828815825,0.5034784479044654,0.04703515189175995,0.4160211264962532,0.009988692603193752,0.4423327956065036,0.22700960608671938,0.34481380025857056,0.21816035538965733,0.3816013770405207,,,0.13589507706953305,0.30833765533174806,-0.015312745807369266,0.29939967641163173
RHxPPFD,-0.005262000735164307,0.465391747857224,0.032672091425493655,0.4789735068457209,0.03838274932614558,0.457392871879835,-0.04008911972157375,0.3419049565816076,0.2539767446532338,0.3911085358975423,-0.034167219962090434,0.2597081036992911,-0.03413697288618872,0.2619016332686926,-0.44142828971291814,0.608435582169344,0.05986637259123362,0.44103308116575574,0.0,0.0,-0.11001541560115956,0.6374668246539625,0.04703515189175993,0.4160211264962533,-0.09507170459664996,0.547024751500734,0.011885414683423745,0.4312636503998731,0.11918109333516452,0.38332752176527385,,,-0.015549425634181269,0.35384006674579316,-0.02067328028988811,0.31284624158037294
