[            ST   ST_conf
TEMP  0.008211  0.001105
RH    0.303263  0.032730
CO2   0.356851  0.035480
PPFD  0.077077  0.007737
H     0.272051  0.027727,             S1   S1_conf
TEMP  0.006696  0.007283
RH    0.295187  0.047591
CO2   0.347008  0.054753
PPFD  0.075078  0.022214
H     0.265792  0.043115,                     S2   S2_conf
(TEMP, RH)    0.000880  0.011648
(TEMP, CO2)   0.001297  0.012643
(TEMP, PPFD)  0.001781  0.010415
(TEMP, H)     0.001184  0.010980
(RH, CO2)     0.001484  0.076376
(RH, PPFD)    0.002401  0.066896
(RH, H)       0.002144  0.076474
(CO2, PPFD)   0.001526  0.096475
(CO2, H)      0.001626  0.106145
(PPFD, H)    -0.003025  0.040487]
