[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.203570  0.023756
PPFD  0.799159  0.061053
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.195845  0.037241
PPFD  0.794112  0.069016
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -2.775558e-17  6.399426e-17
(TEMP, PPFD)  0.000000e+00  1.325774e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)    -2.775558e-17  6.399426e-17
(RH, PPFD)    0.000000e+00  1.325774e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   4.656085e-03  7.255476e-02
(CO2, H)      1.868481e-03  5.491263e-02
(PPFD, H)    -1.439130e-03  1.097302e-01]
