[            ST   ST_conf
TEMP  0.477325  0.174042
RH    0.138420  0.060317
CO2   0.127874  0.086468
PPFD  0.557528  0.356301
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.249109  0.175127
RH    0.088189  0.075290
CO2   0.102482  0.064733
PPFD  0.419093  0.349169
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)    0.091256  0.337241
(TEMP, CO2)   0.016685  0.222493
(TEMP, PPFD)  0.082654  0.376041
(TEMP, H)     0.066193  0.235669
(RH, CO2)    -0.059134  0.084581
(RH, PPFD)   -0.028930  0.116894
(RH, H)      -0.006096  0.090670
(CO2, PPFD)   0.018566  0.156002
(CO2, H)     -0.056446  0.108288
(PPFD, H)    -0.075782  0.193629]
