[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.011385  0.006291
PPFD  0.698247  0.314867
H     0.371306  0.156104,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.007328  0.036141
PPFD  0.609685  0.273619
H     0.320859  0.205606,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -1.734723e-18  1.530082e-17
(TEMP, PPFD)  1.110223e-16  1.038460e-16
(TEMP, H)     0.000000e+00  9.029653e-17
(RH, CO2)    -1.734723e-18  1.530082e-17
(RH, PPFD)    1.110223e-16  1.038460e-16
(RH, H)       0.000000e+00  9.029653e-17
(CO2, PPFD)  -2.252928e-02  7.070923e-02
(CO2, H)      9.441461e-03  6.011033e-02
(PPFD, H)     4.772397e-02  4.098579e-01]
