[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.015292  0.010393
PPFD  0.791539  0.338360
H     0.279788  0.141962,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.009318  0.041679
PPFD  0.688940  0.337460
H     0.247306  0.195106,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -3.469447e-18  2.090969e-17
(TEMP, PPFD)  0.000000e+00  1.805898e-16
(TEMP, H)     0.000000e+00  6.075070e-17
(RH, CO2)    -3.469447e-18  2.090969e-17
(RH, PPFD)    0.000000e+00  1.805898e-16
(RH, H)       0.000000e+00  6.075070e-17
(CO2, PPFD)  -3.085558e-02  8.223564e-02
(CO2, H)      2.436658e-02  6.642977e-02
(PPFD, H)     4.419415e-02  4.462318e-01]
