[            ST   ST_conf
TEMP  0.475251  0.157156
RH    0.140948  0.059467
CO2   0.128024  0.076087
PPFD  0.580979  0.264281
H     0.013346  0.011113,             S1   S1_conf
TEMP  0.239779  0.195780
RH    0.087846  0.080052
CO2   0.105612  0.077079
PPFD  0.422539  0.257525
H     0.004591  0.034429,                     S2   S2_conf
(TEMP, RH)    0.093341  0.308533
(TEMP, CO2)   0.026372  0.228828
(TEMP, PPFD)  0.106996  0.326649
(TEMP, H)     0.068490  0.246569
(RH, CO2)    -0.054786  0.092701
(RH, PPFD)   -0.021701  0.135753
(RH, H)      -0.001978  0.100611
(CO2, PPFD)   0.011119  0.171243
(CO2, H)     -0.066342  0.121002
(PPFD, H)    -0.088065  0.186638]
